radio,mcc,mnc,area,cid,lon,lat,range
GSM,605,1,10006,854,10.184097,36.807175,1000
GSM,605,1,10017,474,10.139694213867001,36.830978393555,1000
GSM,605,1,55302,45803,10.661544799805,34.648818969727,1000
GSM,605,1,55702,57773,9.891885,34.205972,11210
UMTS,605,1,10012,7282756,10.172653198242001,36.891403198242,1000
UMTS,605,1,10012,7282757,10.172997,36.89106,1000
UMTS,605,1,10012,7282760,10.172653198242001,36.891403198242,1000
UMTS,605,1,55501,32873760,11.124696,35.24763,1932
UMTS,605,1,55501,32873757,11.123709,35.246913,1000
GSM,605,1,55701,57741,10.411606,33.771286,1000
GSM,605,1,55701,57585,10.109481811523,33.872909545898,1000
GSM,605,1,55701,57575,10.138320922852,33.823471069336,1000
GSM,605,1,55701,57645,10.113259,33.862953000000005,1903
UMTS,605,1,10014,7287018,10.024337768555,36.821365356445,1000
GSM,605,1,10014,12522,10.024337768555,36.821365356445,1000
GSM,605,1,10014,12525,10.024337768555,36.821365356445,1000
UMTS,605,1,10014,7287021,10.024337768555,36.821365356445,1000
GSM,605,1,10014,12552,10.024337768555,36.821365356445,1000
UMTS,605,1,10011,7275627,10.117109,36.789705,1000
UMTS,605,1,10011,7275630,10.117224,36.789644,1000
UMTS,605,1,10011,7275492,10.117676,36.789834,1000
UMTS,605,1,10011,7275489,10.11751,36.789844,1000
UMTS,605,1,10011,7275610,10.114975,36.790466,1000
UMTS,605,1,10011,7275632,10.114975,36.789608,1000
UMTS,605,1,10011,7275629,10.114974975586,36.789779663086,1000
UMTS,605,1,10011,7287081,10.117035,36.792526,1000
UMTS,605,1,10011,7287078,10.118637,36.794815,1000
UMTS,605,1,55601,33549140,11.040573,33.828278000000005,1000
UMTS,605,1,55601,33549342,11.039131,33.828896,2813
UMTS,605,1,55601,33549340,11.04606628418,33.820724487305,1000
UMTS,605,1,55601,33549339,11.040298,33.828346,1000
GSM,605,1,55601,60241,11.038742,33.827133,1000
GSM,605,1,55601,60464,10.84831237793,33.874282836914,1000
GSM,605,1,55601,60443,11.040573,33.826904,1000
UMTS,605,1,10012,7282902,10.171279907227,36.943588256836,1000
UMTS,605,1,22201,148946,10.740807,36.459205,1000
UMTS,605,1,22201,148943,10.741882,36.460071,1000
UMTS,605,1,22201,148823,10.744294,36.458561,1000
UMTS,605,1,22201,148825,10.740456,36.455753,1000
UMTS,605,1,22201,148826,10.744073,36.458195,1000
UMTS,605,1,22201,148885,10.743942260742,36.461563110352,1000
UMTS,605,1,22201,148928,10.743967,36.462618,1000
UMTS,605,1,22201,148925,10.74253,36.462047,1000
GSM,605,1,22201,17853,10.741276,36.462936,1000
UMTS,605,1,22201,148829,10.741195678711,36.462936401367,1000
UMTS,605,1,22201,148931,10.740777,36.463019,1000
